OBJECTID,canada_points,X,Y,bc_forst_carb,wc2_0_bio_10m_01,wc2_0_bio_10m_04,wc2_0_bio_10m_06,wc2_0_bio_10m_11,wc2_0_bio_10m_13,wc2_0_bio_10m_16
89,88,-126.400098359786952,59.009042708833022,,-2.348989656815926,987.957696465939080,-20.779750823974609,-14.242875337600708,91.000000000000000,231.000000000000000
90,89,-127.306517523199020,58.373025496141167,0.000000000000000,-2.029593748350938,968.544488906803053,-20.721750259399414,-13.871291716893515,79.000000000000000,206.000000000000000
91,90,-122.572398148021335,55.154623759237765,7.000000000000000,0.872729274133841,889.777600597538026,-17.555749893188477,-9.888083259264628,86.000000000000000,238.000000000000000
92,91,-129.697803319621357,54.011222809567840,,4.834708319356044,569.230677479368865,-6.851749897003174,-1.842208315928777,403.000000000000000,1133.000000000000000
93,92,-125.105773951109455,54.413181675625054,75.000000000000000,1.686156185964743,845.392441819741293,-16.452999114990234,-8.968499819437662,63.000000000000000,171.000000000000000
94,93,-123.887995332323911,56.191951720392822,33.000000000000000,-0.700010411441326,895.040811384680296,-19.126499176025391,-11.490791638692221,86.000000000000000,234.000000000000000
95,94,-129.418818973767969,57.357465653466370,11.000000000000000,-0.870927127699057,870.585771476323657,-18.922500610351563,-11.524416883786520,83.000000000000000,226.000000000000000
96,95,-122.754368898629437,52.522762960369995,96.000000000000000,2.875156308213870,826.748168202752481,-16.222499847412109,-7.561416586240132,66.000000000000000,176.000000000000000
97,96,-122.535786142358091,58.331121445039273,120.000000000000000,-0.038333334028721,1178.960354627382458,-23.649749755859375,-14.872374852498373,107.000000000000000,266.000000000000000
98,97,-129.486022460903456,55.732681541018415,301.000000000000000,1.340541626016299,684.999451963078968,-12.440750122070313,-6.489000101884206,200.000000000000000,546.000000000000000
99,98,-116.646220063518498,50.574992678819314,109.000000000000000,-1.341489588220914,786.410337681722240,-15.650750160217285,-10.665416638056437,138.000000000000000,377.000000000000000
100,99,-124.484299560021540,55.960898202080081,13.000000000000000,-0.649520844221115,867.787372311401100,-17.946250915527344,-11.141833464304606,78.000000000000000,218.000000000000000
101,100,-119.700548758398725,49.187092615245682,,5.734979232152303,815.103190677366911,-11.919750213623047,-4.333458344141643,47.000000000000000,124.000000000000000
102,101,-123.954122142660395,55.062768822169247,21.000000000000000,1.076593791445096,908.823777674206553,-17.850250244140625,-10.303791681925455,68.000000000000000,190.000000000000000
103,102,-116.606373190037445,49.209849422598793,,4.584239563594262,776.379611735566982,-12.082500457763672,-4.833625053366025,105.000000000000000,296.000000000000000
104,103,-134.106413266914615,59.296881060965838,,-1.268624991178513,869.056414068358890,-20.437500000000000,-11.867791652679443,85.000000000000000,243.000000000000000
105,104,-131.991118124406938,59.133074585662442,19.000000000000000,-1.130218784014384,997.837755741002752,-21.460500717163086,-13.792125225067139,68.000000000000000,189.000000000000000
106,105,-122.143542901377884,51.356446737591718,44.000000000000000,3.839291567603747,807.865159318098904,-13.630000114440918,-6.194750140110652,61.000000000000000,153.000000000000000
107,106,-122.937877044372271,56.971220126619869,1.000000000000000,0.280843738466501,902.456082126398996,-17.278249740600586,-10.528249979019165,113.000000000000000,294.000000000000000
108,107,-127.648301700845565,54.606323472497863,20.000000000000000,1.263041666398446,732.706122967379201,-14.344249725341797,-7.549250031510989,127.000000000000000,357.000000000000000
109,108,-122.598759023393299,49.464382078512884,61.000000000000000,7.916937629381816,574.659563853663713,-4.625750064849854,1.172583381334941,363.000000000000000,961.000000000000000
110,109,-122.203584779212406,57.348114879692147,0.000000000000000,0.360499931188921,1028.497539963809004,-19.852500915527344,-12.197083632151285,108.000000000000000,274.000000000000000
111,110,-122.246332191718992,49.235835171425556,280.000000000000000,8.529187564039603,570.096793940832072,-3.657999992370605,1.798708279927572,299.000000000000000,812.000000000000000
112,111,-131.105507688857102,57.884909042717240,49.000000000000000,1.884145878255367,948.063924362646617,-18.430500030517578,-10.162749866644541,55.000000000000000,153.000000000000000
113,112,-120.573254898784654,51.654435482911254,52.000000000000000,2.795739614016687,761.941606341874262,-13.680250167846680,-6.611625035603841,87.000000000000000,231.000000000000000
114,113,-122.984823397463899,50.246198301695387,183.000000000000000,4.012833355615537,704.539009385009422,-10.894249916076660,-4.411958381533623,163.000000000000000,452.000000000000000
115,114,-115.108205054164443,49.743997072936878,,1.178447850048542,815.584019926913811,-15.565500259399414,-8.789875169595083,87.000000000000000,216.000000000000000
116,115,-116.317288932324331,51.254939212672447,48.000000000000000,-2.006156178812186,830.172113280643089,-17.866750717163086,-11.922708352406820,100.000000000000000,276.000000000000000
117,116,-128.612591668308426,54.667179046755450,,1.506572903599590,653.586502224029118,-12.055999755859375,-5.863958358764648,196.000000000000000,554.000000000000000
118,117,-124.937418731626792,59.096957672074510,0.000000000000000,-1.153489531949162,1077.655388371266554,-21.916500091552734,-14.218291680018107,106.000000000000000,263.000000000000000
119,118,-126.425807248658799,57.865490607370596,12.000000000000000,-2.549593694508076,966.932420466761414,-21.261499404907227,-14.316291570663452,83.000000000000000,216.000000000000000
120,119,-116.499063211779529,51.014126021793139,90.000000000000000,1.148239569117625,843.820661627245045,-16.644750595092773,-9.403250058492025,87.000000000000000,245.000000000000000
121,120,-122.053647463096837,53.408723445091638,9.000000000000000,2.720989573902140,841.164846456895702,-15.902000427246094,-7.827666918436686,88.000000000000000,236.000000000000000
122,121,-119.571617531098326,51.451855947890429,0.000000000000000,2.925385468949874,775.903472108101596,-13.656749725341797,-6.661999980608623,118.000000000000000,331.000000000000000
123,122,-122.517813101154744,50.594678589793716,,2.008364497994383,716.802395904221612,-13.082249641418457,-6.656833380460739,104.000000000000000,297.000000000000000
124,123,-123.420192880723945,50.610863567444589,,2.252635368922105,712.969047689050626,-12.918499946594238,-6.340999941031138,136.000000000000000,383.000000000000000
125,124,-127.147900949749740,54.649279544953188,132.000000000000000,2.418770845979452,754.444514686530852,-13.982999801635742,-6.797208239634831,78.000000000000000,221.000000000000000
126,125,-117.373768614242024,50.811994093206934,190.000000000000000,0.640781261026859,788.562714394815316,-14.616250038146973,-8.822499891122183,197.000000000000000,569.000000000000000
127,126,-122.427078491739323,51.973902251833550,,4.762770826617877,919.326494218345374,-16.029500961303711,-7.051833530267079,54.000000000000000,143.000000000000000
128,127,-123.562241026723441,51.636761253185014,54.000000000000000,1.897947939733664,714.636581854996848,-14.035249710083008,-6.756333281596501,51.000000000000000,145.000000000000000
129,128,-117.587922319836878,49.309136584753546,70.000000000000000,5.732593764861424,776.883429895603058,-10.936750411987305,-3.607000092665354,105.000000000000000,308.000000000000000
130,129,-121.813833258140392,59.093130631971405,65.000000000000000,-1.378260354200999,1339.666595050312708,-28.216249465942383,-18.545041402180988,92.000000000000000,227.000000000000000
131,130,-116.165280106215334,49.225266521624619,127.000000000000000,2.638843660553297,780.641114752000590,-13.894249916076660,-6.867541636029880,105.000000000000000,290.000000000000000
132,131,-127.354121707713986,51.071389420236201,236.000000000000000,8.266030452602232,444.422585846567642,-1.117664694786072,3.217814393651982,313.000000000000000,905.000000000000000
133,132,-131.675454827515438,58.924232787554814,0.000000000000000,-0.605708353221416,1065.483266518934897,-23.170000076293945,-14.482874949773153,65.000000000000000,180.000000000000000
134,133,-125.888135948572170,55.000172648881389,152.000000000000000,1.608625002205372,889.927718520599115,-17.951999664306641,-9.785999973615011,57.000000000000000,161.000000000000000
135,134,-127.811504861340225,56.198292118572070,222.000000000000000,1.161718722432852,862.098542698188339,-17.450250625610352,-9.486916681130728,81.000000000000000,225.000000000000000
136,135,-128.257114351326038,50.732107756224572,219.000000000000000,8.435078399876753,391.694267045851063,0.980626761913300,4.038461476564407,354.000000000000000,1012.000000000000000
137,136,-128.095039057102525,54.633232867810179,,1.720791642864545,683.518291963627348,-13.220499992370605,-6.219083229700725,171.000000000000000,479.000000000000000
