,COMBINED_C,WC2_0_BIO_10M_01,WC2_0_BIO_10M_04,WC2_0_BIO_10M_06,WC2_0_BIO_10M_11,WC2_0_BIO_10M_13,WC2_0_BIO_10M_16,PREDSEQ,MIN_INT,MAX_INT,PREDINT_WIDTH
155,59.0,0.8457499779760841,771.6037772568964,-15.760000228881836,-8.781749963760376,60.0,164.0,-0.06790284752787816,-1.0529741048812868,1.334081506168806,2.387055611050093
156,0.0,1.7823228947818281,766.5531243932674,-14.144749641418455,-7.270833253860474,108.0,282.0,-0.1740625383753468,-1.0529741048812868,1.4337387982329568,2.4867129031142436
159,65.0,2.1478437421222534,818.9579682020587,-14.975749969482422,-7.965791588028273,78.0,200.0,-0.08636545467468904,-1.0529741048812868,1.344442367553711,2.3974164724349976
160,35.0,-0.513500064611435,1181.8839362395438,-23.379749298095703,-15.157291730244957,111.0,273.0,0.04263256403972894,-1.0529741048812868,1.344442367553711,2.3974164724349976
163,3.0,6.390677089492481,802.2953304528971,-11.198749542236328,-3.4411248862743378,50.0,135.0,-0.3570033980983218,-1.048171997070313,0.639568269252777,1.68774026632309
165,242.0,6.9647767674177885,576.2585939491445,-4.50636625289917,0.43059233824412,273.0,733.0,0.4134571540395975,-1.8220052719116209,4.699340481960518,6.521345753872139
166,91.0,-0.796187430620193,1332.4983649834876,-27.464000701904297,-17.932750225067142,86.0,211.0,0.871993956079471,-1.0529741048812868,1.574906292557717,2.6278803974390037
167,47.0,4.208708345890045,881.665165001781,-15.46125030517578,-6.949416637420653,70.0,173.0,0.3240805115913032,-1.0529741048812868,1.334081506168806,2.387055611050093
168,326.0,3.9633541752894716,877.2601697381184,-15.815999984741213,-7.262125074863434,68.0,181.0,1.2089467942954715,-1.8321587651968003,5.7606592117436275,7.592817976940427
170,236.0,2.4057812610020237,638.182776873107,-9.124750137329102,-4.7821666300296775,153.0,416.0,0.7554565277100491,-0.11513279522769124,1.8277094513177872,1.9428422465454784
171,69.0,-1.7249792367219918,1319.6335137879535,-27.89900016784668,-18.535458405812577,97.0,240.0,0.2222763840214679,-1.0529741048812868,1.344442367553711,2.3974164724349976
175,103.0,0.608000084757805,805.99030850752,-16.64349937438965,-9.306333204110462,84.0,223.0,1.0016950255441266,-1.0529741048812868,2.130086421966553,3.1830605268478402
177,20.0,-0.019937537610531002,1075.8056311048233,-21.332000732421875,-13.338125228881836,97.0,241.0,-0.19064592058832838,-1.0529741048812868,1.334081506168806,2.387055611050093
178,104.0,1.091218824187915,1027.4941438324452,-19.215999603271484,-11.604958295822144,90.0,236.0,1.0170026963597951,-1.0529741048812868,2.130086421966553,3.1830605268478402
179,74.0,1.980645845333735,844.603923715299,-15.508999824523926,-8.366583208243053,92.0,246.0,0.33649174312408076,-1.0529741048812868,1.3201548001208714,2.373128905002158
181,0.0,2.8706354647874828,775.0697302606691,-14.166250228881836,-6.764041721820831,92.0,253.0,-0.2214937758681129,-1.0529741048812868,1.304762125015259,2.357736229896546
183,87.0,0.9195937255087,844.3980214579204,-16.730499267578125,-9.622416536013283,64.0,176.0,0.9391869123868098,-0.9394373624933514,1.304762125015259,2.2441994875086104
185,165.0,4.4831770211458215,828.9492897936825,-13.773500442504885,-5.893625060717264,79.0,222.0,1.453069075453396,-0.8375521332025528,2.29885196685791,3.1364041000604628
187,61.0,-0.9193125714858371,865.3152513508425,-18.052000045776367,-11.435333490371704,90.0,248.0,-0.12630727322036506,-1.0529741048812868,1.3395209583958811,2.3924950632771678
188,0.0,-0.42264570295810705,1185.4354119481986,-24.475500106811523,-15.529208262761436,87.0,218.0,-0.25459065407477405,-1.0529741048812868,1.334081506168806,2.387055611050093
189,95.0,2.954010482877493,760.7634152257059,-13.374750137329102,-6.395333210627237,71.0,208.0,0.7098922249464655,-1.0529741048812868,1.587292290317434,2.640266395198721
192,45.0,-0.700010411441326,895.0408113846803,-19.12649917602539,-11.490791638692222,86.0,234.0,0.037867370424329784,-1.0529741048812868,1.3395209583958811,2.3924950632771678
194,0.0,3.6613646699503684,836.4657632524257,-15.748749732971193,-6.9363750020662955,58.0,159.0,-0.32376411405852373,-1.0529741048812868,1.334081506168806,2.387055611050093
199,3.0,-1.900083442529042,1102.7109661690374,-22.6822509765625,-15.451708555221558,85.0,211.0,-0.2331757674120477,-1.0529741048812868,1.334081506168806,2.387055611050093
205,91.0,-1.7061353897054992,1347.5020589010226,-28.426250457763672,-18.964708328247074,101.0,246.0,0.8336640453221519,-1.0529741048812868,1.5822024574508,2.635176562332087
206,62.0,0.18860419870664702,743.9786691218504,-15.311249732971193,-9.014458338419596,62.0,169.0,-0.11572115638434412,-1.0529741048812868,1.334081506168806,2.387055611050093
207,113.0,3.7349687690536184,896.2251854205208,-16.219999313354492,-7.759499897559483,69.0,185.0,1.2816365071878544,-0.5536550304975885,2.248010678489604,2.8016657089871924
208,72.0,-2.1724792023499813,954.5147524763879,-20.886999130249023,-13.851166566212974,75.0,209.0,0.22539516785673377,-1.0529741048812868,1.344442367553711,2.3974164724349976
210,3.0,1.0240208444496,776.3020991749062,-14.782500267028807,-8.199624985456468,113.0,318.0,-0.10854969551961666,-1.0529741048812868,2.130086421966553,3.1830605268478402
211,85.0,0.13292709024002197,799.84421635501,-15.447500228881836,-9.538749933242796,198.0,567.0,0.6644979978269648,-1.0529741048812868,1.7243591547012331,2.77733325958252
212,122.0,0.091104244192441,1213.9253448618342,-24.222999572753906,-15.315166393915813,95.0,235.0,1.4513379425064605,-0.9394373624933514,2.29885196685791,3.238289329351262
213,162.0,1.5353750878324108,836.657619357749,-16.60849952697754,-8.733374794324241,100.0,272.0,1.3563872965087456,-1.0529741048812868,2.29885196685791,3.3518260717391968
215,145.0,3.872687476376692,813.2121677512076,-14.600500106811525,-6.309624969959259,78.0,208.0,1.3893877690419956,-0.8375521332025528,2.29885196685791,3.1364041000604628
218,123.0,0.794062558561563,922.4737149315738,-18.746749877929688,-10.936208248138428,65.0,183.0,1.172486389323193,-0.813949384064581,2.29885196685791,3.112801350922491
219,7.0,-0.20526030783851898,1112.0013439543698,-22.664499282836914,-14.17687479654948,100.0,251.0,-0.1427187807049699,-1.0529741048812868,1.3201548001208714,2.373128905002158
220,50.0,-2.8319166755924616,1064.6704677042812,-22.209999084472656,-15.56112496058146,98.0,246.0,0.05356228821614944,-1.0529741048812868,1.344442367553711,2.3974164724349976
221,20.0,-1.092854127287865,1258.4751843182935,-26.001750946044922,-17.210375150044758,110.0,272.0,-0.11402576432113913,-1.0529741048812868,1.4386602073907866,2.4916343122720734
222,86.0,-0.24407285451889002,1175.199445106223,-23.940000534057614,-15.171125014623009,86.0,216.0,0.8087565446957542,-1.0529741048812868,1.304762125015259,2.357736229896546
223,112.0,1.4349062455197168,687.9474262422976,-13.015999794006348,-6.454416627685228,165.0,459.0,0.3997859323270926,-1.0529741048812868,1.843124032020569,2.896098136901856
224,119.0,7.537105651261907,473.67253377829917,-2.029968500137329,2.2948474536339436,446.0,1260.0,3.9919082734085625,-1.0111443996429441,9.062826156616213,10.073970556259157
226,4.0,-0.47839585940043106,835.3416190898445,-16.644250869750973,-10.235333482424418,110.0,290.0,-0.11131869445162704,-1.0529741048812868,1.7586753755807902,2.8116494804620773
229,7.0,4.595072917640209,809.1572900801499,-13.07075023651123,-5.4197916090488425,60.0,164.0,-0.3670914626604786,-1.048171997070313,1.334081506168806,2.382253503239119
230,0.0,-3.0534791710476075,947.9107521500749,-21.052249908447266,-14.38979156812032,83.0,217.0,-0.24857041325090928,-1.0529741048812868,1.334081506168806,2.387055611050093
232,43.0,1.5207396422823267,710.7631251225214,-13.251999855041506,-6.679458151261013,132.0,363.0,0.07882467865020885,-1.0529741048812868,1.9710867404937742,3.024060845375061
234,22.0,1.4483749965826669,659.1317740154764,-10.815500259399414,-6.13116657237212,79.0,232.0,-0.3843900604895975,-1.0529741048812868,0.732815590400842,1.7857896952821288
236,192.0,5.381612559159597,561.1522137896907,-5.489870071411133,-0.769437164068222,280.0,765.0,-0.15683143669394958,-1.8220052719116209,2.1814142023733862,4.003419474285007
237,117.0,2.503312488396963,704.9457925052344,-13.095250129699707,-6.045624951521557,141.0,415.0,0.6535763155601213,-0.7050041991962086,2.1638822555541988,2.8688864547504074
238,2.0,1.6235937240223093,754.0292992738725,-13.12950038909912,-7.367666711409887,162.0,463.0,-0.0732118006081783,-1.0529741048812868,1.8538911372423186,2.9068652421236054
239,0.0,-1.865697885553042,933.413812881868,-20.544750213623047,-13.291374842325844,75.0,208.0,-0.24581975665698244,-1.0529741048812868,1.334081506168806,2.387055611050093
241,3.0,-1.000479175398747,1195.818457272323,-24.41024971008301,-16.593958298365276,60.0,166.0,-0.2229648614658556,-1.0529741048812868,1.334081506168806,2.387055611050093
243,5.0,-2.030968831231197,971.8871762086056,-20.356000900268555,-13.406958500544231,126.0,317.0,-0.06477551385359812,-1.0529741048812868,1.5239049196243293,2.576879024505616
246,118.0,2.644635346718132,787.615049408924,-14.758749961853027,-7.1005832850933075,61.0,169.0,1.1507967072656182,-0.9394373624933514,2.29885196685791,3.238289329351262
247,84.0,2.80684364400804,745.464493024914,-12.638999938964846,-6.228124926487606,74.0,202.0,0.48544380041810026,-1.0529741048812868,1.304762125015259,2.357736229896546
249,11.0,3.8392915676037473,807.8651593180989,-13.630000114440918,-6.194750140110653,61.0,153.0,-0.41397077623605594,-1.0529741048812868,1.334081506168806,2.387055611050093
251,28.0,-1.544552048978706,1183.0337967195007,-24.53499984741211,-16.82995812098185,63.0,168.0,-0.39403002640636664,-1.0529741048812868,1.334081506168806,2.387055611050093
254,53.0,2.7571770822008457,857.5924968268595,-17.516000747680664,-8.262791812419891,58.0,158.0,0.2509514738999394,-1.0529741048812868,1.344442367553711,2.3974164724349976
255,0.0,-0.57758325090011,949.3963341657023,-20.296499252319336,-12.561541477839153,65.0,186.0,-0.23872768988915974,-1.0529741048812868,1.334081506168806,2.387055611050093
256,27.0,2.145333369572958,901.5773679470349,-18.724750518798828,-9.693916708230972,46.0,131.0,-0.3563474666863415,-1.0529741048812868,1.334081506168806,2.387055611050093
257,42.0,2.3251875291268034,815.132099407419,-16.11199951171875,-7.8459166288375854,61.0,165.0,0.22544377916350677,-1.0529741048812868,1.344442367553711,2.3974164724349976
258,14.0,2.541968680297335,820.4796292435709,-16.623500823974606,-7.8198334376017264,58.0,156.0,-0.3996925088674602,-1.0529741048812868,1.334081506168806,2.387055611050093
260,108.0,2.388937612374624,789.9189777294162,-14.1274995803833,-7.098791514833767,168.0,431.0,1.0880722415061872,-0.6662650207663658,2.1638822555541988,2.830147276320565
261,53.0,-0.6648228839039799,859.9573787896679,-18.913749694824215,-11.222333351771038,86.0,237.0,-0.058816987915292274,-1.0529741048812868,1.3395209583958811,2.3924950632771678
262,0.0,2.232718760458132,908.1136449225854,-18.95599937438965,-9.602541724840801,50.0,140.0,-0.28646095049260295,-1.0529741048812868,1.334081506168806,2.387055611050093
265,88.0,-1.303510492046674,1325.6299416982122,-27.88574981689453,-18.248833497365318,92.0,225.0,0.9568801404803807,-1.0529741048812868,1.501681580208713,2.5546556850899997
266,133.0,0.364114563291272,1229.5390872020419,-24.451250076293945,-15.42745852470398,87.0,215.0,1.2766831558735474,-1.0529741048812868,2.29885196685791,3.3518260717391968
269,28.0,-0.26822917163372,1124.696739210451,-22.506999969482425,-14.28362488746643,88.0,217.0,-0.36488939186865554,-1.0529741048812868,1.334081506168806,2.387055611050093
